"","Symbol","E12/E11","E13/E12","E14/E13","E13/E11","E14/E11","E14/E12"
"398","Rarg",NA,NA,NA,NA,-0.555311527302222,NA
"399","Rax",-1.58286778220985,NA,NA,NA,-3.34071300520266,NA
"400","Rcor2",-0.753717210568512,NA,NA,NA,-1.48729263553735,-0.711722761537546
"401","Rel",NA,NA,NA,NA,0.717082566686806,NA
"402","Rela",NA,NA,NA,NA,0.608750573370769,NA
"403","Relb",0.531715439732403,NA,0.521471256249665,0.521471256249665,1.39981588345762,0.842856881768694
"404","Repin1",NA,NA,NA,NA,-0.85727094148756,NA
"405","Rest",NA,NA,NA,NA,-0.656727617727081,-0.525956479619938
"406","Rfx3",NA,NA,NA,NA,-1.10273692988121,-0.656172156781847
"407","Rfx4",NA,NA,NA,NA,-1.64451754219731,-0.956098355840373
"408","Rfx5",NA,NA,NA,NA,-0.537731886070562,NA
"409","Rfx7",NA,NA,NA,NA,-0.83798116283516,NA
"410","Rfx8",NA,NA,NA,NA,-0.701790342967707,NA
"411","Rfxank",NA,NA,NA,NA,-0.648594709609152,-0.568670452269954
"412","Rorc",1.36002259277109,NA,NA,NA,1.46884053397598,NA
"413","Rreb1",0.640484517105317,NA,NA,NA,1.15818923508772,0.508547505533397
"414","Rsl1",NA,NA,NA,NA,-0.529170432080504,NA
"415","Runx1",0.805703156237071,NA,NA,NA,1.10338331182611,NA
"416","Runx3",0.921411705812423,NA,NA,NA,2.47621537133881,NA
"417","Sall1",-1.03966249101982,-0.548862471633059,NA,NA,-2.12580833469222,-1.04487733268043
"418","Sall2",NA,NA,NA,NA,-1.01770133911001,-0.714116450412528
"419","Sall3",-2.26380272028207,-1.15594715300458,NA,NA,-5.08906147257743,-2.25152433658229
"420","Sall4",-2.51479649056373,NA,NA,NA,-4.18280198739116,-1.18722571411207
"421","Satb1",NA,NA,NA,NA,-0.681908581100204,NA
"422","Scrt1",NA,NA,NA,NA,1.32231644006023,NA
"423","Scx",NA,-0.558035027200397,NA,NA,-1.1296094322061,-1.01488185138382
"424","Setbp1",NA,NA,NA,NA,-0.889469604992337,-0.531813372939808
"425","Shox2",-0.610513420966399,NA,NA,NA,-1.32133659527654,-0.628872192263032
"426","Sim2",NA,-1.10788993634743,NA,NA,-1.78057726163106,-1.56715802790095
"427","Six1",NA,-0.755223771633125,NA,NA,-1.27854802801062,-0.971637985194124
"428","Six2",NA,-1.06092799907488,NA,NA,-1.34334825136765,-1.43700002822337
"429","Six4",-0.864718307594059,-0.943836976673646,NA,NA,-2.22456152929888,-1.29914412961418
"430","Smad3",NA,NA,NA,NA,-0.525764833010017,NA
"431","Smad4",NA,NA,NA,NA,-0.557471608811202,NA
"432","Smad5",NA,NA,NA,NA,-0.799071634338572,-0.634946055568836
"433","Smad7",NA,NA,NA,NA,-0.788643199120052,-0.575644375065729
"434","Smad9",0.529151762312029,NA,NA,NA,NA,-0.999744365943783
"435","Smarca1",NA,NA,NA,NA,NA,-0.502521424014832
"436","Smarcc1",NA,NA,NA,NA,-1.01980787886064,-0.67047975848333
"437","Smarce1",NA,NA,NA,NA,-0.894559525246291,-0.562767478893802
"438","Snai2",NA,NA,NA,NA,-0.539293842741524,NA
"439","Sohlh1",0.996075955221714,NA,NA,NA,NA,NA
"440","Sox1",NA,NA,NA,NA,-1.79205658236147,NA
"441","Sox10",1.52169873014265,NA,NA,NA,2.23352354263296,NA
