"","e11.sample1","e11.sample2","e11.sample3","e11.sample4","e11.sample5","e12.sample1","e12.sample2","e12.sample3","e12.sample4","e12.sample5","e12.sample6","e12.sample7","e13.sample1","e13.sample2","e13.sample3","e13.sample4","e13.sample5","e13.sample6","e13.sample7","e14.sample1","e14.sample2","e14.sample3","e14.sample4","cluster"
"Onecut2",0.648714989909117,0.747338236935264,0.835056929981055,0.647629636449331,0.792944787995285,0.878469462204711,0.877877404944765,1,0.807600673283582,0.617312389404011,0.430756915810824,0.514614655215634,0.599071800906243,0.505848757554088,0.75498684279538,0.420023113877398,0.403060335384567,0.474772687628339,0.514638187240407,0.426906016115708,0.343540467353263,0.277288786039615,0,1
"Pax9",0.838811726708971,0.934962259392479,0.964267585715066,0.922986280674947,1,0.639468746670584,0.540988018128152,0.565899777817997,0.162517952801142,0.312574987815347,0.329031773039411,0.279658724200776,0.281992149830438,0.163274444867628,0.290419499732433,0.198377594179159,0.463768204276207,0.336559892195698,0.337547447007324,0.103021625606382,0,0.310749057200697,0.408839356218256,1
"Prdm16",0.793279243268548,1,0.990058046352279,0.922348927869724,0.93487478777331,0.688199610772074,0.58171571599687,0.647707470038418,0.577088182111536,0.479286151019964,0.666150833728922,0.56831141382398,0.324509188008837,0.243649474665144,0.372609716656252,0.29698413233372,0.384125162941432,0.292793970863184,0.48970023535266,0.0752812238947929,0,0.202712309917698,0.337695073554375,1
"Sall1",0.824716421165122,0.945120998347643,0.933151576191688,1,0.959927896136389,0.545983715974325,0.429280467600837,0.450427773009892,0.372920511272491,0.489980953780869,0.464048497015839,0.423656784971856,0.375963311326123,0.335038752802006,0.40297189433481,0.289137214019412,0.329896813749043,0.291119503351351,0.202700610605034,0.0955517769807609,0,0.269191385295761,0.395094675667465,1
"Scx",0.828127579157486,0.969082155099937,1,0.923191293970765,0.908965110103021,0.621970619543915,0.643086175136976,0.70022661684315,0.550987201095428,0.662430963150142,0.796429613492117,0.509824267762779,0.488652176556421,0.35317142062655,0.485600458019021,0.379562988666622,0.547430968168216,0.51994568421099,0.413434307640094,0.00730337076726501,0,0.386499772782173,0.531416869283066,1
"Six2",1,0.996111720370959,0.978381668935175,0.718925575597544,0.931450409699515,0.768501698644088,0.749786697530537,0.782289915011873,0.644781704500953,0.586993932110694,0.805189697967118,0.591683035608366,0.183421822620513,0.156432666562592,0.17722181227466,0.118593878277226,0.329510004381814,0.213344046409429,0.532339525140078,0.0373235044045257,0,0.221476778395752,0.313815651113595,1
"Sox11",0.823092544158844,1,0.996276413499139,0.919937045214199,0.935047751442098,0.655906289248822,0.602811719726168,0.563091646609881,0.516940717685485,0.472789060822839,0.573321696445519,0.553415213930731,0.235813355039073,0.239855193561307,0.386739569281377,0.236467663500952,0.295035408308718,0.197342752508875,0.339544357184597,0,0.00904734820589242,0.0859964586915963,0.123798640396049,1
"Sox5",0.670531315072791,0.964933659530302,0.946986627247733,0.899775390293399,1,0.645764629329939,0.528268616702034,0.547231919434689,0.63752534660091,0.474827089043602,0.767923836282366,0.728827036885167,0.389810096394308,0.432666606790831,0.373141699816014,0.254000605165745,0.234745943060451,0.245438358402801,0.486668527207195,0.0534474435053829,0,0.477255264760636,0.550158956699964,1
"Sox6",0.684274099935525,0.997571639443479,0.98976980223801,0.931869531666151,1,0.715650266301085,0.625126914802602,0.58919916670503,0.612212294446569,0.549729975919535,0.818253046280103,0.78107491332117,0.345112779378164,0.423286534142341,0.343000690549294,0.225420166422182,0.303609923632459,0.228732622548286,0.562307826306917,0.0488911619732598,0,0.494560498914394,0.558919442210104,1
"Sox9",0.69342154604063,0.952761063117438,0.96357312273286,0.894283115120614,1,0.629483110892518,0.58083516611562,0.567827848496839,0.645339154554155,0.49665957323257,0.798926746943943,0.703236259349329,0.299663504602409,0.357555929623856,0.393964084903147,0.168829142056705,0.283673109502532,0.203903758964797,0.561514337190715,0.0268544817456014,0,0.482097468959005,0.515384297434073,1
"Sp4",0.798871586053018,1,0.989558647322467,0.889570885989571,0.965003213245121,0.601854787823393,0.517307844830029,0.433223514340599,0.352017278430173,0.380024626477054,0.497232852994609,0.507269268080338,0.213610721618892,0.225997980431008,0.260408412940735,0.286662745703801,0.287964349093559,0.183052581436109,0.251193934503238,0,0.0697286574773159,0.254911173064856,0.209292706791573,1
