,e11.sample1,e11.sample2,e11.sample3,e11.sample4,e11.sample5,e12.sample1,e12.sample2,e12.sample3,e12.sample4,e12.sample5,e12.sample6,e12.sample7,e13.sample1,e13.sample2,e13.sample3,e13.sample4,e13.sample5,e13.sample6,e13.sample7,e14.sample1,e14.sample2,e14.sample3,e14.sample4,cluster,Family
Myrf,0.816136408,0.948815614,0.908866658,1,0.940698143,0.362198364,0.734076481,0.522152088,0.446954043,0.268969678,0.312969275,0.299808678,0.24814337,0.318715964,0.240831109,0.487127146,0.482939193,0.344235431,0.531126795,0.470989731,0.536538256,0,0.042965901,1,NDT80/PhoG
Pax9,0.838811727,0.934962259,0.964267586,0.922986281,1,0.639468747,0.540988018,0.565899778,0.162517953,0.312574988,0.329031773,0.279658724,0.28199215,0.163274445,0.2904195,0.198377594,0.463768204,0.336559892,0.337547447,0.103021626,0,0.310749057,0.408839356,1,PAX
Pou2f1,0.620436897,1,0.942499225,0.77854692,0.772524617,0.339298426,0.171182217,0.269990916,0.11839539,0.169624315,0.190597754,0.23350123,0.061085631,0.067344894,0.028838368,0.190747873,0.035973383,0,0.029086603,0.014239641,0.079764603,0.109017358,0.100960163,1,Pou
Rfx4,0.679307265,0.796420215,0.908759677,0.79087859,1,0.605486667,0.638541719,0.648056123,0.431771245,0.536902253,0.326944422,0.413170796,0.408971973,0.469294885,0.32089678,0.469244941,0.494901753,0.469975573,0.651998378,0.509027515,0.454975232,0,0.105462682,1,RFX
Plscr1,0.887565811,0.999000825,1,0.956813855,0.740016369,0.339586509,0.456648632,0.456993447,0.399432074,0.093621599,0.218544073,0.158178839,0.124138159,0.118659525,0.2015776,0.148918177,0.179859759,0.247264217,0.331524103,0,0.133411484,0.181891233,0.11719648,1,Others
Rag1,0.801494148,0.938340178,1,0.952982447,0.904485876,0.536713247,0.617591578,0.569337412,0.574597972,0.353220041,0.333061881,0.397009142,0.220972885,0.335866232,0.17834833,0.244127937,0.28629894,0,0.70657196,0.136928821,0.183610395,0.221722987,0.182487777,1,Others
Sox10,0.200173192,0,0.009452582,0.079859754,0.130020539,0.076355183,0.253959854,0.215819119,1,0.837435662,0.586533662,0.611511935,0.847867843,0.95089277,0.738965054,0.825461329,0.459124611,0.729102096,0.576833593,0.701535718,0.843662856,0.529177429,0.53945486,2,HMG
Sox2,0.40574991,0.077509021,0,0.226980728,0.269245918,0.248412493,0.466331349,0.155446473,0.731194729,0.769729564,0.65261951,0.498078537,0.69224444,0.887271713,0.699320963,0.767150045,0.534849192,0.540035172,0.5262712,0.611857727,0.663891536,1,0.964713825,2,HMG
Tox2,0,0.18531382,0.06119356,0.167781389,0.04808223,0.210414068,0.310544154,0.552312067,0.561572595,0.663225447,0.398855393,0.581410791,0.667969916,0.692893274,0.490419228,0.825080424,0.980101288,0.811351902,0.78147321,0.925458832,1,0.265060025,0.405148105,2,HMG
Barx1,0.242877491,0.399366367,0.389082108,0,0.208300385,0.583413046,0.672648127,0.591719568,0.828003057,0.605492384,0.934396811,0.612806712,0.324534114,0.21767242,0.147889313,0.462993543,1,0.683122467,0.782726572,0.448491581,0.463433812,0.540901013,0.882062709,2,Homeobox
