TFs,E12.E11,E13.E12,E14.E13,,,,,,,,,,Gene,E12-E11,E13-12,E14-13
,,,,,,,,,,,,,Mreg,-0.69,NA,NA
,,,,,,,,,,,,,Gucy1a2,-0.68,NA,NA
,,,,,,,,,,,,,F2rl3,-0.68,NA,NA
,,,,,,,,,,,,,E030030I06Rik,-0.68,NA,NA
,,,,,,,,,,,,,Kbtbd8,-0.68,NA,NA
,,,,,,,,,,,,,Oip5,-0.68,NA,NA
,,,,,,,,,,,,,Nim1k,-0.68,NA,NA
,,,,,,,,,,,,,AI506816,-0.68,NA,NA
,,,,,,,,,,,,,Gdap10,-0.67,NA,NA
,,,,,,,,,,,,,Msi2,-0.67,NA,NA
,,,,,,,,,,,,,Lrrc56,-0.67,NA,NA
,,,,,,,,,,,,,Sass6,-0.67,NA,NA
,,,,,,,,,,,,,Kbtbd6,-0.67,NA,NA
,,,,,,,,,,,,,Ccnj,-0.67,NA,NA
,,,,,,,,,,,,,Robo2,-0.67,NA,NA
,,,,,,,,,,,,,Gm14827,-0.67,NA,NA
,,,,,,,,,,,,,4930426D05Rik,-0.67,NA,NA
,,,,,,,,,,,,,Cacna1b,-0.67,NA,NA
,,,,,,,,,,,,,Col18a1,-0.67,NA,NA
,,,,,,,,,,,,,Map6,-0.67,NA,NA
,,,,,,,,,,,,,Sgsm1,-0.67,NA,NA
,,,,,,,,,,,,,Aspm,-0.67,NA,NA
,,,,,,,,,,,,,Zfp85os,-0.67,NA,NA
,,,,,,,,,,,,,Cenpw,-0.67,NA,NA
,,,,,,,,,,,,,B130034C11Rik,-0.66,NA,NA
,,,,,,,,,,,,,Zwilch,-0.66,NA,NA
,,,,,,,,,,,,,Senp8,-0.66,NA,NA
,,,,,,,,,,,,,Acot11,-0.66,NA,NA
,,,,,,,,,,,,,Hist1h1b,-0.66,NA,NA
,,,,,,,,,,,,,Pclo,-0.66,NA,NA
,,,,,,,,,,,,,Frem2,-0.66,NA,NA
,,,,,,,,,,,,,Zswim5,-0.66,-0.59,NA
,,,,,,,,,,,,,Gm10416,-0.66,NA,NA
,,,,,,,,,,,,,Ccp110,-0.66,NA,NA
,,,,,,,,,,,,,Rarres1,-0.66,NA,NA
,,,,,,,,,,,,,Pif1,-0.66,NA,NA
,,,,,,,,,,,,,Cep126,-0.65,NA,NA
,,,,,,,,,,,,,Cbx2,-0.65,-0.68,-0.54
,,,,,,,,,,,,,Fam199x,-0.65,NA,NA
,,,,,,,,,,,,,Exo1,-0.65,NA,NA
,,,,,,,,,,,,,Espl1,-0.65,NA,NA
,,,,,,,,,,,,,Tspan12,-0.65,NA,NA
,,,,,,,,,,,,,Mroh7,-0.65,NA,NA
,,,,,,,,,,,,,Mllt3,-0.65,NA,NA
,,,,,,,,,,,,,Kcne3,-0.65,NA,NA
,,,,,,,,,,,,,Dna2,-0.65,NA,NA
,,,,,,,,,,,,,Wnk4,-0.65,NA,NA
,,,,,,,,,,,,,Atp8b3,-0.64,NA,NA
,,,,,,,,,,,,,Ttll4,-0.64,NA,NA
,,,,,,,,,,,,,Ninl,-0.64,NA,NA
,,,,,,,,,,,,,Atp11c,-0.64,NA,NA
,,,,,,,,,,,,,Cd24a,-0.64,-0.73,-0.68
,,,,,,,,,,,,,Hoxa11os,-0.64,NA,NA
,,,,,,,,,,,,,Pgbd1,-0.64,NA,-0.58
,,,,,,,,,,,,,Cdca2,-0.64,NA,NA
,,,,,,,,,,,,,Slc7a11,-0.64,NA,-0.92
,,,,,,,,,,,,,Slc2a4rg-ps,-0.64,NA,NA
,,,,,,,,,,,,,Adat1,-0.64,NA,NA
,,,,,,,,,,,,,Fzd3,-0.64,NA,-0.55
,,,,,,,,,,,,,Bahcc1,-0.64,NA,NA
,,,,,,,,,,,,,5530601H04Rik,-0.64,NA,NA
,,,,,,,,,,,,,Aunip,-0.64,NA,NA
,,,,,,,,,,,,,Cnksr2,-0.63,NA,NA
,,,,,,,,,,,,,Cenpf,-0.63,NA,NA
,,,,,,,,,,,,,Mphosph9,-0.63,NA,NA
,,,,,,,,,,,,,H2-Q5,-0.63,NA,NA
,,,,,,,,,,,,,Dusp6,-0.63,NA,NA
,,,,,,,,,,,,,Klhl3,-0.63,NA,NA
,,,,,,,,,,,,,Spag5,-0.63,NA,NA
,,,,,,,,,,,,,Slmo1,-0.63,NA,-0.74
,,,,,,,,,,,,,Mir3064,-0.63,NA,NA
,,,,,,,,,,,,,Fgd6,-0.63,NA,NA
,,,,,,,,,,,,,Gm16023,-0.63,NA,NA
,,,,,,,,,,,,,Glcci1,-0.62,-0.50,NA
,,,,,,,,,,,,,St6gal2,-0.62,-1.06,NA
