"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EntrezID","Symbol","abslogFC"
"15213",430.851275450697,-0.78119298515222,0.143448133650823,-5.44309038098593,5.23640609993172e-08,2.2404337527565e-06,"15213","Hey1",0.78119298515222
"53417",2218.37652358383,0.528476018888314,0.141726639431057,3.72841486868316,0.000192687978799961,0.00243906624938335,"53417","Hif3a",0.528476018888314
"15273",921.920856313096,0.612718962476481,0.174281688998605,3.52402275509192,0.000425047745040351,0.00469786172424941,"15273","Hivep2",0.612718962476481
"217082",276.51185160185,1.12010838950983,0.22650771431227,4.98227338887353,6.28415639130641e-07,1.94102893176779e-05,"217082","Hlf",1.12010838950983
"15364",8008.0491203724,-1.05853705046546,0.157708299480081,-6.7027097454802,2.04589599682429e-11,1.82520040737963e-09,"15364","Hmga2",1.05853705046546
"15378",5.10121103654761,-0.559263675132013,0.207909366430751,-2.8607206695052,0.00422679282631114,0.0290697804290721,"15378","Hnf4a",0.559263675132013
"74318",30.5626564648069,0.797766396389351,0.248537897047109,3.23290215710884,0.00122539524322099,0.0109030923179324,"74318","Hopx",0.797766396389351
"15399",149.699673014454,-0.809062173454164,0.193460801114501,-4.17382992583986,2.995213862035e-05,0.000515238224554369,"15399","Hoxa2",0.809062173454164
"15400",416.874629233891,-0.788112681143319,0.180739411743523,-4.35548329547652,1.32773642598746e-05,0.000261985827490137,"15400","Hoxa3",0.788112681143319
"15401",59.0036712410396,-0.825297424483752,0.221169510954333,-3.71806310558542,0.000200756126534326,0.00252215861740353,"15401","Hoxa4",0.825297424483752
"15402",430.283165507789,-1.13352325225478,0.201602579270085,-5.59877373429195,2.15873330130286e-08,9.97418042133654e-07,"15402","Hoxa5",1.13352325225478
"15403",62.5837905169785,-0.942646194021928,0.223128753421687,-4.20726049284939,2.58485124042919e-05,0.000458763227560618,"15403","Hoxa6",0.942646194021928
"15404",184.083565026445,-0.716950893612626,0.176201882304907,-4.06448822646523,4.81379686322832e-05,0.000768923818953003,"15404","Hoxa7",0.716950893612626
"15412",254.123858938011,-0.650949497838115,0.191058988946948,-3.40075991918047,0.00067198817485666,0.00679769943829668,"15412","Hoxb4",0.650949497838115
"15423",689.538109744045,-0.559693271728135,0.191692635402718,-2.9129786124572,0.00357999119997527,0.025550473364249,"15423","Hoxc4",0.559693271728135
"15424",1239.49143581163,-0.770630838813811,0.167880324108279,-4.58630433505187,4.51160821016052e-06,0.000107331479291932,"15424","Hoxc5",0.770630838813811
"15425",487.068129632538,-0.569484914557155,0.164810776172613,-3.4534082786479,0.000553550511290179,0.00580622212342644,"15425","Hoxc6",0.569484914557155
"15432",1634.8274519352,-0.694351211912879,0.178133793812419,-3.89116503581836,9.97640445667157e-05,0.0014049055881385,"15432","Hoxd12",0.694351211912879
"15437",849.921551969069,0.855166073065103,0.174027614965808,4.9186426500105,8.71463971179926e-07,2.53313582749215e-05,"15437","Hoxd8",0.855166073065103
"54139",381.715961464098,0.59860033921788,0.181194153428166,3.30611961743732,0.000945976944798662,0.00891845155602202,"54139","Irf6",0.59860033921788
"16372",1148.57045266638,1.07274927636843,0.156525954468273,6.85651148194999,7.05624118381896e-12,6.61157972821294e-10,"16372","Irx2",1.07274927636843
"50916",87.4705820394781,1.24040201464717,0.265917375603901,5.17573577474349,2.27014544494328e-07,8.13565799200611e-06,"50916","Irx4",1.24040201464717
"54352",1093.96112683125,0.551114195283364,0.153179065804916,3.60055487941384,0.000317538794566968,0.00369625575120607,"54352","Irx5",0.551114195283364
"64379",102.058263982793,1.11397179177217,0.218662349857705,5.10963647018702,3.22779271200283e-07,1.098104246769e-05,"64379","Irx6",1.11397179177217
"16392",42.9257296130725,-1.05400499954425,0.237586388082914,-4.40749574051458,1.045726566299e-05,0.000215309681177527,"16392","Isl1",1.05400499954425
"81703",430.896358603356,0.809510822449315,0.187675339795435,4.31841681800803,1.57152429077696e-05,0.000302613150458222,"81703","Jdp2",0.809510822449315
"16476",5516.82177560378,-0.593339177020407,0.125848288666161,-4.71360500678375,2.43372216950999e-06,6.23181499649183e-05,"16476","Jun",0.593339177020407
"619665",192.876060053609,0.712487240543252,0.175552321756284,4.05931711040638,4.92164383286266e-05,0.000783910829674952,"619665","Klf14",0.712487240543252
"12224",173.526179490387,0.809452622919681,0.204134552717487,3.97622838810085,7.0016885023175e-05,0.00104477152634225,"12224","Klf5",0.809452622919681
"16870",1136.34617121126,-0.507736094628825,0.190474001408103,-2.66142555059378,0.00778105462881597,0.0457426737590261,"16870","Lhx2",0.507736094628825
"16874",90.432524123791,0.708008819461457,0.222445214104283,3.191302149845,0.00141633077781799,0.0121507415885235,"16874","Lhx6",0.708008819461457
"16876",1722.18453967711,-0.824400859532185,0.208090935531896,-3.94476109373269,7.98795770088905e-05,0.00116600545308365,"16876","Lhx9",0.824400859532185
"380669",178.533024236309,-1.18248747653019,0.169763649254679,-6.9562620884499,3.49419551378275e-12,3.61757081217063e-10,"380669","Lin28b",1.18248747653019
"16658",1075.17928087409,0.844888262396469,0.138403434402925,6.10511384489673,1.02727432620908e-09,6.3343547791098e-08,"16658","Mafb",0.844888262396469
"14013",3342.6885156232,-0.684975941727822,0.222652855120196,-3.05823743280039,0.00222643094145717,0.0175477912359585,"14013","Mecom",0.684975941727822
"17268",1085.95616412317,-0.723891415855249,0.155300736780698,-4.65716281375519,3.20596900936307e-06,7.96600181111666e-05,"17268","Meis1",0.723891415855249
"17536",1635.30692275375,-0.773277955982353,0.157790847293098,-4.89596971421036,9.78221322054974e-07,2.80881559168415e-05,"17536","Meis2",0.773277955982353
"210719",940.619801233066,0.714343245797846,0.171116140270928,4.17662928684763,2.95860612821612e-05,0.00051103750754316,"210719","Mkx",0.714343245797846
"17121",425.240589372564,0.505917332521827,0.128020806016225,3.95176455351156,7.75770473739355e-05,0.00114033500311625,"17121","Mxd3",0.505917332521827
"17877",104.059031232806,-0.721477482500867,0.202913494494526,-3.54808408321049,0.000388044322062547,0.00437384366238779,"17877","Myf5",0.721477482500867
"225908",504.816639158558,-0.536927503819808,0.155186974898036,-3.45756840819144,0.000545073837052923,0.00574244874061032,"225908","Myrf",0.536927503819808
"18018",2386.15681382471,0.500783320511832,0.132385582406147,3.78481890889519,0.000153820544394154,0.00201552982076465,"18018","Nfatc1",0.500783320511832
"18028",10945.9271249194,0.612007295303338,0.115257287573809,5.31107612603012,1.08979792466668e-07,4.32106165307555e-06,"18028","Nfib",0.612007295303338
"18029",3856.60404927427,0.552797549259103,0.0988177070500673,5.59394328257656,2.21969492684398e-08,1.01717823259637e-06,"18029","Nfic",0.552797549259103
"18032",6976.97718766159,1.06092373606684,0.11490711562669,9.23843186139647,2.50136087593287e-20,9.53473286616956e-18,"18032","Nfix",1.06092373606684
"18143",58.6516259145845,1.21242738835079,0.233338486828274,5.21663431450957,1.82203468061743e-07,6.72541081052887e-06,"18143","Npas2",1.21242738835079
"23958",12.5189448073638,0.635254330369598,0.260183755326294,2.64147096987834,0.00825468810122237,0.047905753921696,"23958","Nr2e3",0.635254330369598
"13865",417.449676849997,-1.30932287432977,0.181738564842651,-7.18472420846542,6.73429847879219e-13,8.12573050980594e-11,"13865","Nr2f1",1.30932287432977
"14815",1649.76820751269,0.918151850545204,0.13285575766343,6.91393346555572,4.71396334243628e-12,4.67825995144031e-10,"14815","Nr3c1",0.918151850545204
"110784",61.6767847566255,0.879413031359131,0.216781651983845,4.05850128583495,4.93886616064815e-05,0.000784778232152345,"110784","Nr3c2",0.879413031359131
"26424",39.9612987366265,1.37203493032044,0.243184268253515,5.66867997199318,1.43901863673824e-08,6.83717296752798e-07,"26424","Nr5a2",1.37203493032044
"225631",46.5884893148932,-0.691737807940594,0.23265848939715,-2.9599967754865,0.00307642262297166,0.0227477437351383,"225631","Onecut2",0.691737807940594
"18505",116.092703248734,0.69937044981489,0.251074283816971,2.81740967021861,0.00484127305364813,0.0323600430367814,"18505","Pax3",0.69937044981489
"18508",4.74380500830961,0.740947077228318,0.252650214057541,3.22764608246674,0.00124813293150146,0.0110643158177286,"18508","Pax6",0.740947077228318
"18511",122.139455713989,-0.61349227918403,0.227923930319842,-2.68010051594547,0.00736000558112862,0.0440706938974256,"18511","Pax9",0.61349227918403
"18741",439.493739803766,-1.57914877516897,0.206809148703481,-7.58798533045241,3.24917687739501e-14,4.78028022698852e-12,"18741","Pitx2",1.57914877516897
"208076",339.864284900044,-0.731002259276312,0.143879555062942,-5.07855143570054,3.80323472465533e-07,1.26062950201421e-05,"208076","Pknox2",0.731002259276312
"22634",17894.9570053223,0.71272526285793,0.151530324922029,4.70608113003473,2.52524055018441e-06,6.40831200347622e-05,"22634","Plagl1",0.71272526285793
"56193",568.913555254448,-0.648170999704737,0.22730781388763,-2.83399013429352,0.00459707511988169,0.0311397996408141,"56193","Plek",0.648170999704737
"22038",200.559817936382,-0.510445138538176,0.127010025621678,-4.0191876252437,5.83991522745489e-05,0.000900248696644057,"22038","Plscr1",0.510445138538176
"18988",11.1723596113302,1.32123105050306,0.264197466780795,5.31468397899484,1.06842585983677e-07,4.26658060028149e-06,"18988","Pou2f3",1.32123105050306
"18991",116.781399405785,0.830279526837066,0.229479462322167,3.63665054477451,0.000276206243386786,0.00329248835400368,"18991","Pou3f1",0.830279526837066
"19013",106.392144060928,0.702405065906038,0.191334888732588,3.67103854509771,0.000241566902622716,0.00294230943412359,"19013","Ppara",0.702405065906038
"70673",2014.35786389794,-0.63949389454234,0.206055378407706,-3.09310214984622,0.00198075942559036,0.0159871497045243,"70673","Prdm16",0.63949389454234
"225518",141.155596147741,0.585615118241871,0.168821046091773,3.4678787428592,0.000524583937022897,0.00557561583760965,"225518","Prdm6",0.585615118241871
"19373",42.8683766907168,-1.05024801647636,0.232619083715496,-4.48892842937034,7.1582340138078e-06,0.000159864049107303,"19373","Rag1",1.05024801647636
"71137",38.5302799579278,-0.605964811600746,0.217262140073678,-2.78454992603609,0.00536020683264581,0.0347512133734579,"71137","Rfx4",0.605964811600746
"12399",674.804910041492,1.72565071433684,0.215980595358956,8.07046584138157,7.00304551317723e-16,1.38182446290598e-13,"12399","Runx3",1.72565071433684
"20689",69.9567547039614,-1.2003418673517,0.248808924620931,-4.76358072428464,1.90187475254934e-06,5.03126866715419e-05,"20689","Sall3",1.2003418673517
"99377",31.5571208933571,-0.813227419737964,0.239420137909323,-3.37807731683969,0.000729945541369973,0.00725275273688222,"99377","Sall4",0.813227419737964
"20429",2978.06587384781,-0.763989064021675,0.127602924488939,-5.98417212151672,2.1749322840467e-09,1.25353829099764e-07,"20429","Shox2",0.763989064021675
"20464",118.063833524628,-0.545636999390004,0.192019117237801,-2.83778397565579,0.00454279166331393,0.0308468428247373,"20464","Sim1",0.545636999390004
"20465",451.168357874416,-0.964486014336231,0.219057262047344,-4.37610865502294,1.20816805840896e-05,0.000243843497901746,"20465","Sim2",0.964486014336231
"20471",987.673295083421,-0.675791440242933,0.176336434159332,-3.82528659202652,0.000130620043534982,0.00174423516733179,"20471","Six1",0.675791440242933
"20472",945.107364040959,-0.63985849589282,0.209640259342638,-3.04066955548483,0.00236052740547298,0.0183801140411294,"20472","Six2",0.63985849589282
"20474",612.729852868852,-0.759723760502947,0.191997730347608,-3.94642659611432,7.93262261288358e-05,0.00115893681588226,"20474","Six4",0.759723760502947
"20671",115.631537769796,1.19537469508715,0.220439240576011,5.44609920594706,5.14864278503209e-08,2.20923296362237e-06,"20671","Sox17",1.19537469508715
